"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2855","verify valid Login @login @sanity","Google Chrome","Mon Dec 08 10:37:40 UTC 2025","passed","Mon Dec 08 10:37:42 UTC 2025","","loginpage.spec.ts","",""
"","2128","verify invalid Login","Google Chrome","Mon Dec 08 10:37:43 UTC 2025","passed","Mon Dec 08 10:37:45 UTC 2025","","loginpage.spec.ts","",""
